No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
61792,WISEA J234113.61+010143.0,23h41m13.6171s,+01d01m43.060s,355.306738,1.028628,*,,,,55.5559057371851,0,0,23,3,0,4,0,0,0,0
61793,WISEA J234328.33+011520.2,23h43m28.3357s,+01d15m20.000s,355.8680656377,1.2555556489,G,,,,55.5560150086314,0,0,31,3,0,4,0,0,0,0
61794,WISEA J234351.72-003537.4,23h43m51.7272s,-00d35m37.495s,355.9655303,-0.5937488,IrS,,,,55.5563530655419,0,0,12,1,0,0,0,0,0,0
61795,WISEA J234525.99-002856.3,23h45m25.9974s,-00d28m56.315s,356.3583226,-0.4823099,IrS,,,,55.5563870752193,0,0,12,1,0,0,0,0,0,0
61796,WISEA J234459.52+011142.2,23h44m59.5317s,+01d11m41.913s,356.248049,1.194976,*,,,,55.5564233708597,0,0,21,3,0,4,0,0,0,0
61797,SDSS J234704.84-000130.7,23h47m04.8417s,-00d01m30.743s,356.7701738399,-0.0252064399,G,,,,55.5564916702638,0,0,15,1,0,4,0,0,0,0
61798,WISEA J234716.32+003215.6,23h47m16.3180s,+00d32m15.682s,356.8179917598,0.5376896311,G,,,,55.557047258502,0,0,35,4,0,4,0,0,0,0
61799,WISEA J234118.31+010242.9,23h41m18.3133s,+01d02m42.903s,355.3263055,1.0452509,IrS,,,,55.5571860698471,0,0,12,1,0,0,0,0,0,0
61800,WISEA J234717.48+000847.6,23h47m17.4867s,+00d08m47.675s,356.8228615,0.1465765,IrS,,,,55.5573077442976,0,0,12,1,0,0,0,0,0,0
61801,WISEA J234607.95+010112.8,23h46m08.0560s,+01d01m13.026s,356.5335669424,1.0202849986,*,,,,55.5574243681291,0,0,17,2,0,4,0,0,0,0
61802,SDSS J234015.12-000151.2,23h40m15.1247s,-00d01m51.287s,355.0630199668,-0.030913267,*,,,,55.5585804955329,0,0,5,1,0,4,0,0,0,0
