No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
42553,WISEA J234640.07+001042.9,23h46m40.0440s,+00d10m43.274s,356.6668500791,0.1786874601,G,209524.9488962,0.6989,SLS,46.0004448290073,2,0,31,3,1,4,0,0,0,1
42870,WIG S00J234045791+00041494,23h40m45.7910s,+00d04m14.941s,355.19079583333,0.07081694444,G,231880.47248926,0.77347,SLS,46.1912885560698,2,0,0,1,1,0,0,0,0,1
42871,SDSS J234120.46-001030.9,23h41m20.4677s,-00d10m30.939s,355.3352821573,-0.1752610458,G,136594.43763854,0.45563,SLS,46.1916103936379,2,0,19,2,1,4,0,0,0,1
42934,WISEA J234136.12-001432.2,23h41m36.1260s,-00d14m32.233s,355.4005253,-0.2422872,G,107245.400554125,0.35773215,SLS,46.2264014471649,7,0,56,9,8,8,0,0,0,1
43040,WISEA J234605.31+004827.1,23h46m05.3126s,+00d48m27.125s,356.522136,0.8075349,*,15.6168127055326,5.209208e-05,SLS,46.2939704411369,0,0,23,4,1,4,0,0,0,1
43130,WISEA J234114.65+004842.3,23h41m14.6542s,+00d48m42.385s,355.3110595,0.8117737,*,35.7090801182429,0.00011911267,SLS,46.3405399958616,0,0,12,2,1,0,0,0,0,1
43232,WISEA J234406.02+010546.3,23h44m06.0260s,+01d05m46.396s,356.0251087,1.0962212,*,16.3583163732253,5.456547e-05,SLS,46.392413379071,0,0,23,4,1,3,0,0,0,1
43315,WISEA J234318.87+010559.8,23h43m18.8707s,+01d05m59.895s,355.8286282,1.099971,*,25.4351116386192,8.48424e-05,SLS,46.4410730563198,0,0,26,5,1,4,0,0,0,1
43500,SDSS J234052.71-000044.1,23h40m52.7208s,-00d00m44.140s,355.21967,-0.012261194,QSO,554883.162380078,1.850891,SLS,46.5443788305636,24,0,13,8,12,4,0,1,0,1
43531,WISEA J234642.43+001044.9,23h46m42.3619s,+00d10m45.644s,356.6765082315,0.1793457907,G,205070.03297032,0.68404,SLS,46.5608168148074,2,0,31,3,1,4,0,0,0,1
43563,WISEA J234041.55+000612.9,23h40m41.5562s,+00d06m12.916s,355.1731509,0.1035879,G,21034.0924008384,0.07016218,SLS,46.5760107861165,22,0,80,11,9,10,1,0,1,1
43588,SDSS J234620.15-000350.7,23h46m20.1584s,-00d03m50.705s,356.5839933406,-0.0640848408,G,160691.75541258,0.53601,SLS,46.589952964983,2,0,19,2,1,4,0,0,0,1
43602,SDSS J234108.69-000727.8,23h41m08.6999s,-00d07m27.873s,355.2862499557,-0.1244092582,G,238167.12033352,0.79444,SLS,46.5954421333012,2,0,15,1,1,4,0,0,0,1
43638,SDSS J234041.73+000556.7,23h40m41.7384s,+00d05m56.712s,355.1739101557,0.099086877,G,334412.49104984,1.11548,SLS,46.6123058989375,2,0,15,1,1,4,0,0,0,1
43733,WISEA J234523.12+005841.8,23h45m23.1284s,+00d58m41.856s,356.3463687,0.9782934,G,105835.851364723,0.3530304,SLS,46.6651145412863,4,0,53,6,4,8,0,0,0,1
43899,SDSS J234646.36+002249.2,23h46m46.3632s,+00d22m49.278s,356.69318,0.380355,*,1849406.18274139,6.168955,SLS,46.75940407363,1,0,5,2,2,4,0,0,0,1
43903,SDSS J234621.59-000334.4,23h46m21.5964s,-00d03m34.430s,356.5899852459,-0.059564028,G,79795.75854586,0.26617,SLS,46.7633952708357,2,0,15,1,1,4,0,0,0,1
44083,GALEXMSC J234102.68-000542.5,23h41m02.6410s,-00d05m42.979s,355.26100416667,-0.09527194444,G,191252.5985811,0.63795,SLS,46.8544897917265,2,0,4,2,1,0,0,0,0,1
44092,SDSS J234402.95-002638.6,23h44m02.9595s,-00d26m38.688s,356.0123315847,-0.4440802242,G,105589.90163218,0.35221,SLS,46.8570186386278,2,0,23,3,1,4,0,0,0,1
44155,WISEA J234142.96-001651.6,23h41m42.9639s,-00d16m51.653s,355.4290164,-0.2810148,G,23360.4578915218,0.0779221,SLS,46.8976290566743,11,0,72,11,7,10,0,0,1,1
44169,SDSS J234613.70+004638.7,23h46m13.7023s,+00d46m38.792s,356.5570933022,0.7774423294,G,142527.33038236,0.47542,SLS,46.9063401230528,2,0,19,2,1,4,0,0,0,1
44379,WISEA J234036.35+000920.8,23h40m36.3566s,+00d09m20.891s,355.1514859,0.1558032,G,39682.8681220524,0.1323678,SLS,47.0231098834948,6,0,24,8,2,0,0,0,0,1
44467,WISEA J234644.02+002928.9,23h46m44.0088s,+00d29m29.160s,356.68337,0.49143332,G,59229.6511657333,0.19756885,SLS,47.0728212221242,2,0,35,5,1,4,0,0,0,1
44500,2MASS J23461979+0044397,23h46m19.7949s,+00d44m39.742s,356.582479,0.744373,G,82285.8137165359,0.27447593,SLS,47.0893437363586,0,0,5,2,1,0,0,0,0,1
44538,WISEA J234458.18+010241.0,23h44m58.1865s,+01d02m41.025s,356.2424438,1.0447294,G,27937.4268218651,0.093189225,SLS,47.1134726856549,11,0,71,7,5,10,1,0,1,1
