No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
2691,WISEA J233728.62-003408.6,23h37m28.6257s,-00d34m08.684s,354.3692738,-0.5690791,UvES,384919.185992508,1.2839522,SLS,50.832966378525,7,0,24,8,7,4,0,0,0,2
2693,DEEP2 33023381,23h34m19.8696s,+00d08m22.322s,353.58279,0.13953388889,G,391960.65128752,1.30744,SLS,50.8523151189398,4,0,0,2,3,0,0,0,0,1
2694,WISEA J233535.31+005640.5,23h35m35.3170s,+00d56m40.511s,353.8971543,0.9445865,G,50839.290691422,0.16958162,SLS,50.8614486169746,11,0,23,8,5,0,1,0,0,1
2695,WISEA J233936.69-002510.1,23h39m36.6957s,-00d25m10.134s,354.9028988,-0.4194817,G,133811.035547711,0.44634557,SLS,50.8627381101924,4,0,27,3,1,4,0,0,0,1
2696,SDSS J233418.69+001015.4,23h34m18.6927s,+00d10m15.493s,353.5778863435,0.1709702639,G,301201.4825526,1.0047,SLS,50.8732494966276,4,0,15,2,3,4,0,0,0,1
2698,DEEP2 33036285,23h34m17.0736s,+00d15m37.094s,353.57114,0.26030388889,G,390731.50220972,1.30334,UUN,50.8905080613573,4,0,0,2,3,0,0,0,0,1
2700,SDSS J233552.68+005945.4,23h35m52.6805s,+00d59m45.436s,353.9695021494,0.9959546451,G,152141.67451042,0.50749,SLS,50.8956245297908,2,0,19,2,1,4,0,0,0,1
2701,WISEA J233420.23+000730.8,23h34m20.1936s,+00d07m31.256s,353.58414,0.12534888889,G,272787.146488133,0.909919977,SLS,50.9172565877543,4,0,12,3,3,0,0,0,0,1
2702,WISEA J233417.30+001318.0,23h34m17.3520s,+00d13m18.382s,353.5723,0.22177277778,G,356408.2636933,1.18885,SLS,50.9181491326479,4,0,12,3,3,0,0,0,0,1
2703,WISEA J233904.29-002949.3,23h39m04.2965s,-00d29m49.317s,354.7679021,-0.4970326,G,20906.676409094,0.069737166,SLS,50.9196321597888,11,0,62,9,5,8,0,0,0,1
2705,DEEP2 33023283,23h34m19.4976s,+00d08m28.428s,353.58124,0.14123,G,244940.631129572,0.817034,SLS,50.9277516235097,4,0,0,2,3,0,0,0,0,1
2706,DEEP2 33023360,23h34m18.6696s,+00d09m39.848s,353.57779,0.16106888889,G,391379.062912774,1.30550003,UUN?,50.9564587844596,4,0,0,2,1,0,0,0,0,1
2707,DEEP2 33036311,23h34m16.9560s,+00d14m13.318s,353.57065,0.23703277778,G,366214.47499448,1.22156,SLS,50.9659922328618,5,0,0,2,3,0,0,0,0,1
2708,WISEA J233431.08+003521.5,23h34m31.0262s,+00d35m21.203s,353.6292760021,0.5892231133,G,153286.88169998,0.51131,SLS,50.9675726490924,2,0,31,3,1,4,0,0,0,1
2709,WISEA J233417.21+001252.3,23h34m17.1984s,+00d12m53.002s,353.57166,0.21472277778,G,274681.84171792,0.91624,UUN,50.9855698765759,5,0,12,3,3,0,0,0,0,1
2711,WISEA J233436.23+003824.3,23h34m36.2393s,+00d38m24.300s,353.6509974,0.6400834,G,25761.2888308478,0.08593041,SLS,50.9864416289021,18,0,79,9,6,10,1,0,1,1
