No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
64909,WISEA J234002.30+005944.6,23h40m02.3028s,+00d59m44.650s,355.0095952,0.9957361,IrS,,,,55.8231962960183,0,0,12,1,0,0,0,0,0,0
64910,WISEA J233617.42+010824.4,23h36m17.4295s,+01d08m24.461s,354.0726232,1.1401281,*,-53.7063648572787,-0.00017914515,SLS,55.8237806041957,0,0,31,6,1,4,0,0,0,0
64911,SDSS J234107.04+003752.5,23h41m07.0499s,+00d37m52.552s,355.2793748164,0.631264479,*,,,,55.8241552358118,0,0,5,1,0,4,0,0,0,0
64912,WISEA J233422.60-000912.7,23h34m22.6047s,-00d09m12.729s,353.5941864,-0.1535359,IrS,,,,55.8245942481036,0,0,12,1,0,0,0,0,0,0
64913,SDSS J233415.53-000529.8,23h34m15.5391s,-00d05m29.844s,353.5647465774,-0.091623386,G,,,,55.8247272858922,0,0,15,1,0,4,0,0,0,0
64914,WISEA J234112.83-000045.5,23h41m12.8310s,-00d00m45.556s,355.3034625,-0.0126547,*,,,,55.8251645046101,0,0,31,5,0,4,0,0,0,0
64915,SDSS J233652.44+011106.7,23h36m52.4453s,+01d11m06.758s,354.218522355,1.1852105491,G,,,,55.825888060412,0,0,15,1,0,4,0,0,0,0
64916,WISEA J233719.61+011210.2,23h37m19.6028s,+01d12m10.779s,354.331678331,1.202994178,G,,,,55.8269426859391,0,0,27,2,0,4,0,0,0,0
64917,WISEA J234107.18+003748.1,23h41m07.1828s,+00d37m48.152s,355.2799287,0.6300423,IrS,,,,55.8269934661792,0,0,12,1,0,0,0,0,0,0
64918,WISEA J233751.32+011219.6,23h37m51.3518s,+01d12m21.748s,354.4639661345,1.2060412781,G,,,,55.8272126885705,0,0,27,2,0,4,0,0,0,0
64919,WISEA J233737.69+011225.3,23h37m37.6944s,+01d12m25.351s,354.40706,1.2070421,IrS,,,,55.8272514528016,0,0,12,1,0,0,0,0,0,0
64920,GALEXMSC J234017.64+005617.4,23h40m17.6486s,+00d56m17.464s,355.073535918699,0.938184691005336,UvS,,,,55.8274908840192,0,0,3,1,0,0,0,0,0,0
64921,WISEA J233816.84+011140.8,23h38m16.8343s,+01d11m41.308s,354.5701429007,1.1948078204,*,,,,55.8281473376572,0,0,17,2,0,4,0,0,0,0
64922,WISEA J234122.61+002236.5,23h41m22.6192s,+00d22m36.500s,355.3442469,0.3768056,IrS,,,,55.8281645350807,0,0,12,1,0,0,0,0,0,0
64923,GALEXMSC J234058.33-000920.5,23h40m58.3382s,-00d09m20.576s,355.243076222521,-0.155715653112972,UvS,,,,55.8283009812,0,0,4,1,0,0,0,0,0,0
64924,SDSS J234123.09+002123.7,23h41m23.0934s,+00d21m23.745s,355.34622285,0.3565959782,G,,,,55.8288828533443,0,0,15,1,0,4,0,0,0,0
64925,WISEA J234102.12+004039.9,23h41m02.0815s,+00d40m40.838s,355.2586732204,0.6780107811,G,,,,55.8289173693124,0,0,27,2,0,4,0,0,0,0
64926,WISEA J233915.27+010709.8,23h39m15.2733s,+01d07m09.898s,354.813639,1.1194163,IrS,,,,55.8293319069147,0,0,12,1,0,0,0,0,0,0
64927,WISEA J234116.64+003044.0,23h41m16.6479s,+00d30m44.028s,355.3193665,0.51223,G,,,,55.8293599571327,0,0,36,5,0,4,0,0,0,0
64928,WISEA J233445.95-001811.6,23h34m45.9524s,-00d18m11.634s,353.6914685,-0.3032318,*,,,,55.8297404532497,0,0,23,3,0,4,0,0,0,0
64929,WISEA J233357.34+001620.1,23h33m57.2799s,+00d16m22.229s,353.488666252,0.2728416296,G,,,,55.8298506493856,0,0,27,2,0,4,0,0,0,0
64930,SDSS J233851.22+010933.9,23h38m51.2222s,+01d09m33.926s,354.7134260393,1.1594240406,*,,,,55.8301176312008,0,0,5,1,0,4,0,0,0,0
64931,GALEXMSC J233500.26-002215.7,23h35m00.2621s,-00d22m15.735s,353.751092186731,-0.371037634240234,UvS,,,,55.8302891537164,0,0,4,1,0,0,0,0,0,0
64932,SDSS J233526.60+010115.9,23h35m26.6011s,+01d01m15.989s,353.8608381848,1.0211081448,G,,,,55.8315838208502,0,0,15,1,0,4,0,0,0,0
64933,WISEA J234105.52+003847.7,23h41m05.5374s,+00d38m47.391s,355.2730728722,0.6464977383,*,,,,55.8316391994153,0,0,17,2,0,3,0,0,0,0
64934,WISEA J234018.82-002248.1,23h40m18.8281s,-00d22m48.134s,355.0784505005,-0.38003726,G,,,,55.8325771970473,0,0,27,2,0,4,0,0,0,0
64935,WISEA J233439.38+004913.8,23h34m39.3693s,+00d49m13.801s,353.6640391065,0.8205003296,G,,,,55.8327657752563,0,0,27,2,0,4,0,0,0,0
64936,WISEA J233414.90+003821.3,23h34m14.9098s,+00d38m21.392s,353.5621244,0.6392758,*,,,,55.8340973493809,0,0,23,3,0,3,0,0,0,0
64937,SDSS J234049.26-001316.8,23h40m49.2635s,-00d13m16.880s,355.2052646914,-0.2213556844,G,,,,55.8345838041625,0,0,15,1,0,4,0,0,0,0
64938,WISEA J234034.72+005133.9,23h40m34.7293s,+00d51m33.976s,355.1447057,0.8594379,IrS,,,,55.834602898241,0,0,12,1,0,0,0,0,0,0
64939,SDSS J233634.45+010955.8,23h36m34.4589s,+01d09m55.836s,354.1435789941,1.1655100397,G,,,,55.8347481979999,0,0,15,1,0,4,0,0,0,0
64940,SDSS J233824.87+011119.5,23h38m24.8786s,+01d11m19.599s,354.6036611983,1.1887776388,G,,,,55.8347765477102,0,0,15,1,0,4,0,0,0,0
